[2025-05-29 00:11:23,967] 18 root -INFO -Initiate the data ingestion
[2025-05-29 00:11:28,951] 65 root -INFO -Performed train test split on the dataframe
[2025-05-29 00:11:28,952] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-29 00:11:28,953] 75 root -INFO -Exporting train and test file path.
[2025-05-29 00:11:29,101] 84 root -INFO -Exported train and test file path.
[2025-05-29 00:11:29,103] 20 root -INFO -Data Initiation completed
[2025-05-29 00:11:29,131] 24 root -INFO -initiate data validation
[2025-05-29 00:11:29,245] 32 root -INFO -Required number of columns:2
[2025-05-29 00:11:29,245] 33 root -INFO -Data frame has columns:31
[2025-05-29 00:11:29,245] 32 root -INFO -Required number of columns:2
[2025-05-29 00:11:29,245] 33 root -INFO -Data frame has columns:31
[2025-05-29 00:11:29,602] 26 root -INFO - data validation completed
[2025-05-29 00:11:29,603] 28 root -INFO -Initiate data transformation
