[2025-05-29 00:14:08,690] 18 root -INFO -Initiate the data ingestion
[2025-05-29 00:14:12,325] 65 root -INFO -Performed train test split on the dataframe
[2025-05-29 00:14:12,325] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-29 00:14:12,327] 75 root -INFO -Exporting train and test file path.
[2025-05-29 00:14:12,474] 84 root -INFO -Exported train and test file path.
[2025-05-29 00:14:12,475] 20 root -INFO -Data Initiation completed
[2025-05-29 00:14:12,489] 24 root -INFO -initiate data validation
[2025-05-29 00:14:12,609] 32 root -INFO -Required number of columns:2
[2025-05-29 00:14:12,609] 33 root -INFO -Data frame has columns:31
[2025-05-29 00:14:12,609] 32 root -INFO -Required number of columns:2
[2025-05-29 00:14:12,609] 33 root -INFO -Data frame has columns:31
[2025-05-29 00:14:12,932] 26 root -INFO - data validation completed
[2025-05-29 00:14:12,934] 28 root -INFO -Initiate data transformation
[2025-05-29 00:14:12,934] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-05-29 00:14:12,934] 65 root -INFO -Starting data transformation
[2025-05-29 00:14:12,984] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-29 00:14:12,985] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-29 00:14:13,011] 34 root -INFO -Entered the save_object method of MainUtils class
[2025-05-29 00:14:13,016] 38 root -INFO -Exited the save_object method of MainUtils class
[2025-05-29 00:14:13,016] 34 root -INFO -Entered the save_object method of MainUtils class
[2025-05-29 00:14:13,022] 38 root -INFO -Exited the save_object method of MainUtils class
[2025-05-29 00:14:13,024] 34 root -INFO -Data transformation completed
